emp_no,first_name,last_name,birth_date,from_date,to_date,title,dept_no,dept_name
10002,Bezalel,Simmel,6/2/1964,8/3/1996,1/1/9999,Staff,d007,Sales
10077,Mona,Azuma,4/18/1964,12/23/1994,1/1/9999,Staff,d003,Human Resources
10092,Valdiodio,Niizuma,10/18/1964,4/22/1996,1/1/9999,Engineer,d005,Development
10093,Sailaja,Desikan,6/11/1964,6/8/1997,1/1/9999,Staff,d007,Sales
10147,Kazuhito,Encarnacion,10/13/1964,12/18/1987,1/1/9999,Senior Staff,d002,Finance
10156,Sumali,Fargier,9/19/1964,5/14/1993,1/1/9999,Engineer,d006,Quality Management
10168,Dharmaraja,Stassinopoulos,9/11/1964,12/6/1986,1/1/9999,Senior Staff,d008,Research
10190,Arve,Fairtlough,12/11/1964,6/23/1986,1/1/9999,Engineer,d004,Production
10211,Vishu,Strehl,8/5/1964,11/22/1991,1/1/9999,Engineer,d005,Development
10213,Jackson,Kakkad,5/24/1964,10/6/1994,1/1/9999,Staff,d009,Customer Service
10226,Xinglin,Plessier,12/28/1964,1/29/1996,1/1/9999,Staff,d007,Sales
10238,Mototsugu,Gire,11/2/1964,5/25/1996,1/1/9999,Engineer,d008,Research
10242,Lunjin,Ozeri,2/22/1964,1/18/1988,1/1/9999,Engineer,d004,Production
10247,Heon,Riefers,6/30/1964,8/14/1992,1/1/9999,Engineer,d004,Production
10277,Isaac,Schwartzbauer,8/15/1964,6/16/1985,1/1/9999,Senior Staff,d007,Sales
10279,Barton,Jumpertz,8/20/1964,7/11/1999,1/1/9999,Engineer,d009,Customer Service
10280,Stabislas,Delgrange,10/29/1964,1/27/1995,1/1/9999,Staff,d003,Human Resources
10296,Petter,Lorho,5/13/1964,9/16/1989,1/1/9999,Senior Staff,d007,Sales
10309,Prodip,Schusler,11/6/1964,5/2/1997,1/1/9999,Assistant Engineer,d005,Development
10357,Hausi,Sidhu,1/10/1964,4/4/1994,1/1/9999,Engineer,d006,Quality Management
10378,Takahira,Lichtner,9/5/1964,8/31/1992,1/1/9999,Senior Staff,d007,Sales
10408,Martijn,Kaiser,3/17/1964,10/7/1998,1/1/9999,Staff,d007,Sales
10417,Bingning,Bakhtari,2/2/1964,6/27/1999,1/1/9999,Staff,d007,Sales
10469,Munehiko,Ananiadou,12/22/1964,12/26/1992,1/1/9999,Senior Engineer,d008,Research
10491,Garnik,Narahari,9/9/1964,1/17/1990,1/1/9999,Senior Staff,d001,Marketing
